"Origin Movement ID","Origin Display Name","Destination Movement ID","Destination Display Name","Date Range","Mean Travel Time (Seconds)","Range - Lower Bound Travel Time (Seconds)","Range - Upper Bound Travel Time (Seconds)"
"166","Census Tract 120","1","Census Tract 233.15","3/1/2020 - 3/31/2020, Every day, Daily Average",1626,1320,2002
"166","Census Tract 120","2","Census Tract 234.21","3/1/2020 - 3/31/2020, Every day, Daily Average",942,662,1339
"166","Census Tract 120","3","Census Tract 214.11","3/1/2020 - 3/31/2020, Every day, Daily Average",1222,905,1649
"166","Census Tract 120","4","Census Tract 214.16","3/1/2020 - 3/31/2020, Every day, Daily Average",991,683,1436
"166","Census Tract 120","5","Census Tract 215.04","3/1/2020 - 3/31/2020, Every day, Daily Average",1050,748,1472
"166","Census Tract 120","6","Census Tract 234.19","3/1/2020 - 3/31/2020, Every day, Daily Average",1267,984,1631
"166","Census Tract 120","7","Census Tract 503.11","3/1/2020 - 3/31/2020, Every day, Daily Average",1595,1234,2061
"166","Census Tract 120","8","Census Tract 219.06","3/1/2020 - 3/31/2020, Every day, Daily Average",1704,1304,2225
"166","Census Tract 120","9","Census Tract 66.01","3/1/2020 - 3/31/2020, Every day, Daily Average",505,311,819
"166","Census Tract 120","10","Census Tract 67","3/1/2020 - 3/31/2020, Every day, Daily Average",370,184,742
"166","Census Tract 120","11","Census Tract 93","3/1/2020 - 3/31/2020, Every day, Daily Average",973,632,1497
"166","Census Tract 120","12","Census Tract 94.02","3/1/2020 - 3/31/2020, Every day, Daily Average",579,399,840
"166","Census Tract 120","13","Census Tract 101.08","3/1/2020 - 3/31/2020, Every day, Daily Average",1780,1390,2277
"166","Census Tract 120","14","Census Tract 1706.02","3/1/2020 - 3/31/2020, Every day, Daily Average",1933,1634,2286
"166","Census Tract 120","15","Census Tract 101.10","3/1/2020 - 3/31/2020, Every day, Daily Average",1058,770,1453
"166","Census Tract 120","16","Census Tract 102.05","3/1/2020 - 3/31/2020, Every day, Daily Average",1295,964,1739
"166","Census Tract 120","17","Census Tract 102.08","3/1/2020 - 3/31/2020, Every day, Daily Average",1527,1187,1963
"166","Census Tract 120","18","Census Tract 105.07","3/1/2020 - 3/31/2020, Every day, Daily Average",778,570,1060
"166","Census Tract 120","19","Census Tract 105.08","3/1/2020 - 3/31/2020, Every day, Daily Average",1100,822,1470
"166","Census Tract 120","20","Census Tract 105.12","3/1/2020 - 3/31/2020, Every day, Daily Average",971,762,1236
"166","Census Tract 120","21","Census Tract 106.01","3/1/2020 - 3/31/2020, Every day, Daily Average",784,524,1171
"166","Census Tract 120","22","Census Tract 106.03","3/1/2020 - 3/31/2020, Every day, Daily Average",697,518,937
"166","Census Tract 120","23","Census Tract 106.04","3/1/2020 - 3/31/2020, Every day, Daily Average",730,516,1032
"166","Census Tract 120","24","Census Tract 303.30","3/1/2020 - 3/31/2020, Every day, Daily Average",1680,1236,2282
"166","Census Tract 120","25","Census Tract 313.11","3/1/2020 - 3/31/2020, Every day, Daily Average",643,467,883
"166","Census Tract 120","26","Census Tract 314.04","3/1/2020 - 3/31/2020, Every day, Daily Average",1311,1015,1692
"166","Census Tract 120","27","Census Tract 314.05","3/1/2020 - 3/31/2020, Every day, Daily Average",1713,1387,2114
"166","Census Tract 120","28","Census Tract 314.06","3/1/2020 - 3/31/2020, Every day, Daily Average",1519,1241,1858
"166","Census Tract 120","29","Census Tract 315.03","3/1/2020 - 3/31/2020, Every day, Daily Average",1922,1575,2344
"166","Census Tract 120","30","Census Tract 315.05","3/1/2020 - 3/31/2020, Every day, Daily Average",1525,1003,2317
"166","Census Tract 120","31","Census Tract 101.22","3/1/2020 - 3/31/2020, Every day, Daily Average",1146,856,1533
"166","Census Tract 120","32","Census Tract 303.31","3/1/2020 - 3/31/2020, Every day, Daily Average",1890,1460,2445
"166","Census Tract 120","33","Census Tract 303.32","3/1/2020 - 3/31/2020, Every day, Daily Average",1838,1342,2515
"166","Census Tract 120","34","Census Tract 303.33","3/1/2020 - 3/31/2020, Every day, Daily Average",1728,1302,2292
"166","Census Tract 120","35","Census Tract 1306.13","3/1/2020 - 3/31/2020, Every day, Daily Average",2153,1736,2668
"166","Census Tract 120","36","Census Tract 310.01","3/1/2020 - 3/31/2020, Every day, Daily Average",1238,958,1599
"166","Census Tract 120","37","Census Tract 303.20","3/1/2020 - 3/31/2020, Every day, Daily Average",1299,947,1781
"166","Census Tract 120","38","Census Tract 305.02","3/1/2020 - 3/31/2020, Every day, Daily Average",1299,992,1699
"166","Census Tract 120","39","Census Tract 303.22","3/1/2020 - 3/31/2020, Every day, Daily Average",2128,1634,2770
"166","Census Tract 120","40","Census Tract 313.07","3/1/2020 - 3/31/2020, Every day, Daily Average",1244,963,1605
"166","Census Tract 120","41","Census Tract 303.19","3/1/2020 - 3/31/2020, Every day, Daily Average",1629,1224,2167
"166","Census Tract 120","42","Census Tract 311.01","3/1/2020 - 3/31/2020, Every day, Daily Average",1425,1132,1792
"166","Census Tract 120","43","Census Tract 303.18","3/1/2020 - 3/31/2020, Every day, Daily Average",1595,1195,2128
"166","Census Tract 120","44","Census Tract 303.36","3/1/2020 - 3/31/2020, Every day, Daily Average",2016,1489,2729
"166","Census Tract 120","45","Census Tract 305.04","3/1/2020 - 3/31/2020, Every day, Daily Average",1258,956,1654
"166","Census Tract 120","46","Census Tract 311.10","3/1/2020 - 3/31/2020, Every day, Daily Average",1384,1062,1803
"166","Census Tract 120","47","Census Tract 301.01","3/1/2020 - 3/31/2020, Every day, Daily Average",2387,1905,2990
"166","Census Tract 120","48","Census Tract 301.03","3/1/2020 - 3/31/2020, Every day, Daily Average",2201,1769,2737
"166","Census Tract 120","49","Census Tract 303.28","3/1/2020 - 3/31/2020, Every day, Daily Average",2210,1715,2847
"166","Census Tract 120","50","Census Tract 302.09","3/1/2020 - 3/31/2020, Every day, Daily Average",2270,1880,2740
"166","Census Tract 120","51","Census Tract 302.14","3/1/2020 - 3/31/2020, Every day, Daily Average",2208,1837,2653
"166","Census Tract 120","52","Census Tract 302.15","3/1/2020 - 3/31/2020, Every day, Daily Average",2074,1697,2534
"166","Census Tract 120","53","Census Tract 303.34","3/1/2020 - 3/31/2020, Every day, Daily Average",1847,1366,2496
"166","Census Tract 120","54","Census Tract 303.35","3/1/2020 - 3/31/2020, Every day, Daily Average",2100,1590,2773
"166","Census Tract 120","55","Census Tract 303.37","3/1/2020 - 3/31/2020, Every day, Daily Average",1970,1415,2741
"166","Census Tract 120","56","Census Tract 303.39","3/1/2020 - 3/31/2020, Every day, Daily Average",837,607,1152
"166","Census Tract 120","57","Census Tract 303.10","3/1/2020 - 3/31/2020, Every day, Daily Average",1782,1338,2371
"166","Census Tract 120","58","Census Tract 303.11","3/1/2020 - 3/31/2020, Every day, Daily Average",2092,1651,2650
"166","Census Tract 120","59","Census Tract 303.12","3/1/2020 - 3/31/2020, Every day, Daily Average",1791,1391,2305
"166","Census Tract 120","60","Census Tract 301.04","3/1/2020 - 3/31/2020, Every day, Daily Average",1993,1619,2451
"166","Census Tract 120","61","Census Tract 303.13","3/1/2020 - 3/31/2020, Every day, Daily Average",1706,1301,2236
"166","Census Tract 120","62","Census Tract 304.05","3/1/2020 - 3/31/2020, Every day, Daily Average",1077,819,1415
"166","Census Tract 120","63","Census Tract 303.14","3/1/2020 - 3/31/2020, Every day, Daily Average",1868,1492,2337
"166","Census Tract 120","64","Census Tract 305.05","3/1/2020 - 3/31/2020, Every day, Daily Average",1203,921,1571
"166","Census Tract 120","65","Census Tract 307","3/1/2020 - 3/31/2020, Every day, Daily Average",1526,1182,1968
"166","Census Tract 120","66","Census Tract 303.24","3/1/2020 - 3/31/2020, Every day, Daily Average",2164,1679,2787
"166","Census Tract 120","67","Census Tract 308","3/1/2020 - 3/31/2020, Every day, Daily Average",1315,1036,1667
"166","Census Tract 120","68","Census Tract 309.01","3/1/2020 - 3/31/2020, Every day, Daily Average",1780,1446,2189
"166","Census Tract 120","69","Census Tract 309.02","3/1/2020 - 3/31/2020, Every day, Daily Average",1518,1198,1921
"166","Census Tract 120","70","Census Tract 309.04","3/1/2020 - 3/31/2020, Every day, Daily Average",1605,1329,1937
"166","Census Tract 120","71","Census Tract 309.05","3/1/2020 - 3/31/2020, Every day, Daily Average",1812,1486,2209
"166","Census Tract 120","72","Census Tract 303.26","3/1/2020 - 3/31/2020, Every day, Daily Average",2378,1872,3020
"166","Census Tract 120","73","Census Tract 310.02","3/1/2020 - 3/31/2020, Every day, Daily Average",1639,1112,2414
"166","Census Tract 120","74","Census Tract 310.04","3/1/2020 - 3/31/2020, Every day, Daily Average",1669,1286,2164
"166","Census Tract 120","75","Census Tract 310.05","3/1/2020 - 3/31/2020, Every day, Daily Average",1740,1393,2173
"166","Census Tract 120","76","Census Tract 219.12","3/1/2020 - 3/31/2020, Every day, Daily Average",1625,1299,2032
"166","Census Tract 120","77","Census Tract 311.06","3/1/2020 - 3/31/2020, Every day, Daily Average",1528,1215,1921
"166","Census Tract 120","78","Census Tract 303.27","3/1/2020 - 3/31/2020, Every day, Daily Average",2001,1596,2508
"166","Census Tract 120","79","Census Tract 311.08","3/1/2020 - 3/31/2020, Every day, Daily Average",1338,1010,1770
"166","Census Tract 120","80","Census Tract 311.11","3/1/2020 - 3/31/2020, Every day, Daily Average",1384,1036,1848
"166","Census Tract 120","81","Census Tract 311.12","3/1/2020 - 3/31/2020, Every day, Daily Average",1269,949,1695
"166","Census Tract 120","82","Census Tract 303.29","3/1/2020 - 3/31/2020, Every day, Daily Average",1732,1358,2207
"166","Census Tract 120","83","Census Tract 313.06","3/1/2020 - 3/31/2020, Every day, Daily Average",1348,1044,1739
"166","Census Tract 120","84","Census Tract 313.08","3/1/2020 - 3/31/2020, Every day, Daily Average",1106,808,1513
"166","Census Tract 120","85","Census Tract 313.09","3/1/2020 - 3/31/2020, Every day, Daily Average",1060,833,1348
"166","Census Tract 120","86","Census Tract 313.10","3/1/2020 - 3/31/2020, Every day, Daily Average",734,550,978
"166","Census Tract 120","87","Census Tract 214.05","3/1/2020 - 3/31/2020, Every day, Daily Average",1073,785,1466
"166","Census Tract 120","88","Census Tract 219.09","3/1/2020 - 3/31/2020, Every day, Daily Average",1358,1040,1772
"166","Census Tract 120","89","Census Tract 220.01","3/1/2020 - 3/31/2020, Every day, Daily Average",1384,961,1992
"166","Census Tract 120","90","Census Tract 220.04","3/1/2020 - 3/31/2020, Every day, Daily Average",1427,1118,1820
"166","Census Tract 120","91","Census Tract 220.05","3/1/2020 - 3/31/2020, Every day, Daily Average",1154,838,1588
"166","Census Tract 120","92","Census Tract 220.08","3/1/2020 - 3/31/2020, Every day, Daily Average",1302,980,1728
"166","Census Tract 120","93","Census Tract 235.07","3/1/2020 - 3/31/2020, Every day, Daily Average",1000,708,1410
"166","Census Tract 120","94","Census Tract 236.02","3/1/2020 - 3/31/2020, Every day, Daily Average",755,489,1164
"166","Census Tract 120","95","Census Tract 236.03","3/1/2020 - 3/31/2020, Every day, Daily Average",809,509,1283
"166","Census Tract 120","96","Census Tract 215.02","3/1/2020 - 3/31/2020, Every day, Daily Average",620,435,883
"166","Census Tract 120","97","Census Tract 216.02","3/1/2020 - 3/31/2020, Every day, Daily Average",1136,813,1587
"166","Census Tract 120","98","Census Tract 216.03","3/1/2020 - 3/31/2020, Every day, Daily Average",682,491,947
"166","Census Tract 120","99","Census Tract 217.03","3/1/2020 - 3/31/2020, Every day, Daily Average",1146,849,1545
"166","Census Tract 120","100","Census Tract 224.01","3/1/2020 - 3/31/2020, Every day, Daily Average",809,582,1124
"166","Census Tract 120","101","Census Tract 224.02","3/1/2020 - 3/31/2020, Every day, Daily Average",1075,820,1408
